2023-11-19 22:42:05.337 INFO  [Thread-5] [o.apache.coyote.http11.Http11NioProtocol] - Destroying ProtocolHandler ["http-nio-8088"]
2023-11-19 22:42:05.400 INFO  [restartedMain] [com.tsherpa.team35.Team35Application] - Starting Team35Application using Java 17.0.7 on Novah with PID 2872 (C:\Dev\IdeaProjects\project\team\project05\build\classes\java\main started by soumu in C:\Dev\IdeaProjects\project\team\project05)
2023-11-19 22:42:05.400 INFO  [restartedMain] [com.tsherpa.team35.Team35Application] - No active profile set, falling back to 1 default profile: "default"
2023-11-19 22:42:05.688 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8088 (http)
2023-11-19 22:42:05.688 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8088"]
2023-11-19 22:42:05.688 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-19 22:42:05.688 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-19 22:42:05.735 INFO  [restartedMain] [org.apache.jasper.servlet.TldScanner] - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2023-11-19 22:42:05.736 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-19 22:42:05.736 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 331 ms
2023-11-19 22:42:05.940 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@6317818, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@59f952d4, org.springframework.security.web.context.SecurityContextPersistenceFilter@4a2ec499, org.springframework.security.web.header.HeaderWriterFilter@2ebbaa66, org.springframework.security.web.authentication.logout.LogoutFilter@728fc97a, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@5e810fb, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@220983b5, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5112f508, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@762dc410, org.springframework.security.web.session.SessionManagementFilter@49a710e5, org.springframework.security.web.access.ExceptionTranslationFilter@4a444168, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@570f1e8d]
2023-11-19 22:42:06.010 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-19 22:42:06.020 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8088"]
2023-11-19 22:42:06.023 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8088 (http) with context path ''
2023-11-19 22:42:06.024 INFO  [restartedMain] [o.s.m.s.b.SimpleBrokerMessageHandler] - Starting...
2023-11-19 22:42:06.024 INFO  [restartedMain] [o.s.m.s.b.SimpleBrokerMessageHandler] - BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@3344bc31]]
2023-11-19 22:42:06.024 INFO  [restartedMain] [o.s.m.s.b.SimpleBrokerMessageHandler] - Started.
