2023-11-17 15:33:09.112 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown completed.
2023-11-17 15:33:12.993 INFO  [background-preinit] [o.h.validator.internal.util.Version] - HV000001: Hibernate Validator 6.2.5.Final
2023-11-17 15:33:12.996 INFO  [restartedMain] [com.tsherpa.team35.Team35Application] - Starting Team35Application using Java 17.0.7 on FULL8-015 with PID 10728 (D:\park\project\team\project05\build\classes\java\main started by db400tea in D:\park\project\team\project05)
2023-11-17 15:33:12.996 INFO  [restartedMain] [com.tsherpa.team35.Team35Application] - No active profile set, falling back to 1 default profile: "default"
2023-11-17 15:33:13.141 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-17 15:33:13.143 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-17 15:33:13.756 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8088 (http)
2023-11-17 15:33:13.761 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8088"]
2023-11-17 15:33:13.761 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-17 15:33:13.761 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-17 15:33:13.846 INFO  [restartedMain] [org.apache.jasper.servlet.TldScanner] - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2023-11-17 15:33:13.849 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-17 15:33:13.850 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 707 ms
2023-11-17 15:33:13.885 WARN  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Cannot deserialize session attribute [SPRING_SECURITY_CONTEXT] for session [1A838AB7D50689B599E2511DBC9D9FD4]
2023-11-17 15:33:14.236 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@73ecd1d3, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@321b52d3, org.springframework.security.web.context.SecurityContextPersistenceFilter@1729aa0b, org.springframework.security.web.header.HeaderWriterFilter@7249f87c, org.springframework.security.web.authentication.logout.LogoutFilter@3c389901, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@7853d76c, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@73ca6286, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@168a2710, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@66820688, org.springframework.security.web.session.SessionManagementFilter@31efdd7d, org.springframework.security.web.access.ExceptionTranslationFilter@32a38781, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@196bb541]
2023-11-17 15:33:14.369 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-17 15:33:14.381 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8088"]
2023-11-17 15:33:14.395 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8088 (http) with context path ''
